,time
0,2003-09-02
1,2003-09-03
2,2003-09-04
3,2003-09-05
4,2003-09-08
5,2003-09-09
6,2003-09-10
7,2003-09-11
8,2003-09-12
9,2003-09-15
10,2003-09-16
11,2003-09-17
12,2003-09-18
13,2003-09-19
14,2003-09-22
15,2003-09-23
16,2003-09-24
17,2003-09-25
18,2003-09-26
19,2003-09-29
20,2003-09-30
21,2003-10-01
22,2003-10-02
23,2003-10-03
24,2003-10-06
25,2003-10-07
26,2003-10-08
27,2003-10-09
28,2003-10-10
29,2003-10-13
30,2003-10-14
31,2003-10-15
32,2003-10-16
33,2003-10-17
34,2003-10-20
35,2003-10-21
36,2003-10-22
37,2003-10-23
38,2003-10-24
39,2003-10-27
40,2003-10-28
41,2003-10-29
42,2003-10-30
43,2003-10-31
44,2003-11-03
45,2003-11-04
46,2003-11-05
47,2003-11-06
48,2003-11-07
49,2003-11-10
50,2003-11-11
51,2003-11-12
52,2003-11-13
53,2003-11-14
54,2003-11-17
55,2003-11-18
56,2003-11-19
57,2003-11-20
58,2003-11-21
59,2003-11-24
60,2003-11-25
61,2003-11-26
62,2003-11-27
63,2003-11-28
64,2003-12-01
65,2003-12-02
66,2003-12-03
67,2003-12-04
68,2003-12-05
69,2003-12-08
70,2003-12-09
71,2003-12-10
72,2003-12-11
73,2003-12-12
74,2003-12-15
75,2003-12-16
76,2003-12-17
77,2003-12-18
78,2003-12-19
79,2003-12-22
80,2003-12-23
81,2003-12-24
82,2003-12-25
83,2003-12-26
84,2003-12-29
85,2003-12-30
86,2003-12-31
87,2004-01-01
88,2004-01-02
89,2004-01-05
90,2004-01-06
91,2004-01-07
92,2004-01-08
93,2004-01-09
94,2004-01-12
95,2004-01-13
96,2004-01-14
97,2004-01-15
98,2004-01-16
99,2004-01-19
100,2004-01-20
101,2004-01-21
102,2004-01-22
103,2004-01-23
104,2004-01-26
105,2004-01-27
106,2004-01-28
107,2004-01-29
108,2004-01-30
109,2004-02-02
110,2004-02-03
111,2004-02-04
112,2004-02-05
113,2004-02-06
114,2004-02-09
115,2004-02-10
116,2004-02-11
117,2004-02-12
118,2004-02-13
119,2004-02-16
120,2004-02-17
121,2004-02-18
122,2004-02-19
123,2004-02-20
124,2004-02-23
125,2004-02-24
126,2004-02-25
127,2004-02-26
128,2004-02-27
129,2004-03-01
130,2004-03-02
131,2004-03-03
132,2004-03-04
133,2004-03-05
134,2004-03-08
135,2004-03-09
136,2004-03-10
137,2004-03-11
138,2004-03-12
139,2004-03-15
140,2004-03-16
141,2004-03-17
142,2004-03-18
143,2004-03-19
144,2004-03-22
145,2004-03-23
146,2004-03-24
147,2004-03-25
148,2004-03-26
149,2004-03-29
150,2004-03-30
151,2004-03-31
152,2004-04-01
153,2004-04-02
154,2004-04-05
155,2004-04-06
156,2004-04-07
157,2004-04-08
158,2004-04-09
159,2004-04-12
160,2004-04-13
161,2004-04-14
162,2004-04-15
163,2004-04-16
164,2004-04-19
165,2004-04-20
166,2004-04-21
167,2004-04-22
168,2004-04-23
169,2004-04-26
170,2004-04-27
171,2004-04-28
172,2004-04-29
173,2004-04-30
174,2004-05-03
175,2004-05-04
176,2004-05-05
177,2004-05-06
178,2004-05-07
179,2004-05-10
180,2004-05-11
181,2004-05-12
182,2004-05-13
183,2004-05-14
184,2004-05-17
185,2004-05-18
186,2004-05-19
187,2004-05-20
188,2004-05-21
189,2004-05-24
190,2004-05-25
191,2004-05-26
192,2004-05-27
193,2004-05-28
194,2004-05-31
195,2004-06-01
196,2004-06-02
197,2004-06-03
198,2004-06-04
199,2004-06-07
200,2004-06-08
201,2004-06-09
202,2004-06-10
203,2004-06-11
204,2004-06-14
205,2004-06-15
206,2004-06-16
207,2004-06-17
208,2004-06-18
209,2004-06-21
210,2004-06-22
211,2004-06-23
212,2004-06-24
213,2004-06-25
214,2004-06-28
215,2004-06-29
216,2004-06-30
217,2004-07-01
218,2004-07-02
219,2004-07-05
220,2004-07-06
221,2004-07-07
222,2004-07-08
223,2004-07-09
224,2004-07-12
225,2004-07-13
226,2004-07-14
227,2004-07-15
228,2004-07-16
229,2004-07-19
230,2004-07-20
231,2004-07-21
232,2004-07-22
233,2004-07-23
234,2004-07-26
235,2004-07-27
236,2004-07-28
237,2004-07-29
238,2004-07-30
239,2004-08-02
240,2004-08-03
241,2004-08-04
242,2004-08-05
243,2004-08-06
244,2004-08-09
245,2004-08-10
246,2004-08-11
247,2004-08-12
248,2004-08-13
249,2004-08-16
250,2004-08-17
251,2004-08-18
252,2004-08-19
253,2004-08-20
254,2004-08-23
255,2004-08-24
256,2004-08-25
257,2004-08-26
258,2004-08-27
259,2004-08-30
260,2004-08-31
261,2004-09-01
262,2004-09-02
263,2004-09-03
264,2004-09-06
265,2004-09-07
266,2004-09-08
267,2004-09-09
268,2004-09-10
269,2004-09-13
270,2004-09-14
271,2004-09-15
272,2004-09-16
273,2004-09-17
274,2004-09-20
275,2004-09-21
276,2004-09-22
277,2004-09-23
278,2004-09-24
